購買依頼,明細,購買ｸﾞﾙｰﾌﾟ,購買依頼者,品目コード,テキスト (短),追跡番号,品目ｸﾞﾙｰﾌﾟ,購買依頼数量,単位,依頼価格,通貨,標準原価,納入期日,固定仕入先,固定仕入先名称,希望仕入先,希望仕入先名称,勘定コード,原価センタ,受注番号,指図番号,WBS 要素,ネットワーク,受領者（理由）,メーカ名,図面番号,図面完成フラグ,図面改定記号,処理ステータス,自動発注,購買情報,購買発注,発注日付,入庫完了,指定納期,回答納期,材料費（設計予算）,加工費（設計予算）,登録者,削除,プラント固有ｽﾃｰﾀｽ,MRPﾀｲﾌﾟ,研究室／設計室,安全在庫,最小ﾛｯﾄｻｲｽﾞ,購買発注削除,備考,承認グループ,購買情報テキスト,見積書番号
0012707314,00010,136,,F00A0809800,INVD*TIF-T15D360L208C,,ZZZ,1.000,PC,1651.30,JPY,165130.000,20251007,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163726,,Oﾃﾞﾝｿｳ,F00A0809800,0,,,X,5300218843,4502401439,20250520,,20251007,20251007,114708,44193,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707315,00010,136,,F00A0887800,INVB*TS-10%S501P210N400,,ZZZ,1.000,PC,162.60,JPY,16260.000,20251007,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163726,,Oﾃﾞﾝｿｳ,F00A0887800,0,,,X,5300233535,4502401440,20250520,,20251007,20251007,16268,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707349,00010,136,,F00A0522500,ACL3-0.2mH-160A,,ZZZ,1.000,PC,1205.33,JPY,120533.000,20250910,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163681,,Oﾃﾞﾝｿｳ,F00A0522500,1,AB,,X,5300176663,4502401441,20250520,,20250910,20250910,86332,29642,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707350,00010,136,,F00A0781000,INVD*TIF-T50D360L208C,,ZZZ,1.000,PC,3452.60,JPY,345260.000,20250910,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163681,,Oﾃﾞﾝｿｳ,F00A0781000,0,,,X,5300211963,4502401442,20250520,,20250910,20250910,187367,70856,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707351,00010,136,,F00A0887800,INVB*TS-10%S501P210N400,,ZZZ,1.000,PC,162.60,JPY,16260.000,20250910,S00005,大阪電装工業（株）,,,0000705112,,,,00000000,000040163681,,Oﾃﾞﾝｿｳ,F00A0887800,0,,,X,5300233535,4502401443,20250520,,20250910,20250910,16268,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707402,00010,136,資材部,63200024900,F4424G ﾘﾝｸﾞｺｱ ﾌｧｲﾝﾒｯﾄ ﾅｲｹｲ21.*,,63,10.000,PC,16.70,JPY,1670.000,20251007,S00371,ウメトク（株）,,,,,,,00000000,,,ﾌﾟﾛﾃﾘｱ,,0,,,X,,4502401551,20250520,,20251007,20251007,1840,0,資材部,,,PD,L,20.000,10.000,,,,,
0012707429,00010,136,資材部,I2F1A0162,SB5S  EI-50W,,EE,30.000,PC,23.00,JPY,2300.000,20250624,S00371,ウメトク（株）,,,,,,,00000000,,,ｽﾐﾀﾞD,I2F1A0162,1,E,,X,,4502401552,20250520,,20250624,20251115,2530,0,資材部,,,PD,L,10.000,30.000,,,,,
0012707455,00010,136,資材部,52100020300,AWG22 UL1007 ｸﾛ 0.33# ｸﾛ ｶﾞｲｹ*,,MAIN,610.000,M,0.12,JPY,11.800,20250825,S00135,（株）吉野商店,,,,,,,00000000,,,ﾄｳﾆﾁKC,,0,,,X,,4502401516,20250520,,20250825,20250825,7,0,資材部,,,PD,L,1000.000,610.000,,,,,
0012707461,00010,136,資材部,35000944400,ER17330V C2 ｱﾙｶﾘ 1700mAH *D0A*,,ZZZ,100.000,PC,13.80,JPY,1380.000,20250905,S00983,（株）電子技販,,,,,,,00000000,,,ﾄｳｼﾊﾞ,,0,,,X,,4502401628,20250520,,20250905,20251008,760,0,資材部,,,PD,L,100.000,100.000,,,,,
0012707592,00010,136,,EAA738600,ｶﾞﾗﾘﾎﾞｳｾｲｼｮﾘ,,EE,4.000,PC,20.00,JPY,2000.000,20251118,S00005,大阪電装工業（株）,,,0000705115,,,,00000000,000040163861,,Oﾃﾞﾝｿｳ,EAA738600,1,,,X,5300010118,4502401834,20250521,,20251118,20251118,2200,0,SISSYS,,,PD,N,0.000,0.000,,,,,
0012707593,00010,136,,F1A791400,CT 2500/1,,EE,2.000,PC,13.80,JPY,1380.000,20251118,S00136,ホクト電機（株）,,,0000705112,,,,00000000,000040163861,,ｻﾝｼﾔ D,F1A791400,1,,,X,5300061854,4502401875,20250521,,20251118,20251119,960,0,SISSYS,,,PD,N,0.000,0.000,,,,,
