プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	B55	10132856	0035	0015776341	外注組立	C0922	SG	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	0040	0015274834	総合組立	C0922	MSN	A7A784400	RS-RC A/M 15V A 10M	1	1	15	20250808		0000000000	000000
P100	ZP10	B55	10132856	0050	0015274835	製品検査	C0953	SN	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	1000	0015274836	出荷検査	C0960	SN	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	1030	0015274837	組立小型手直(自責)	CZ030	SNF	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	1040	0015274838	組立小型手直(他責)	CZ040	SNF	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	1050	0015274839	検査手直し(自責)	C0970	SNF	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B55	10132856	1060	0015274840	検査手直し(他責)	C0980	SNF	A7A784400	RS-RC A/M 15V A 10M	1			20250808		0000000000	000000
P100	ZP10	B10	10132876	0010	0015281653	メイン部品払出	CW010	SN	A6A862600	IDKS-40-200T3 L67-70L	8	8		20250805		0000000000	000000
P100	ZP10	B10	10132876	0020	0015281654	部品仕分け	C0931	SN	A6A862600	IDKS-40-200T3 L67-70L	8	8		20250805		0000000000	000000
P100	ZP10	B10	10132876	0022	0015281672	外注加工(スクリーン印刷)	C0921	SG	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0025	0015281655	外注加工	C0921	SN	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0027	0015792126	外注加工	C0922	SG	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0030	0015281656	準備工程	C0921	SN	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0032	0015281664	工程①	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8		300	20250805		0000000000	000000
P100	ZP10	B10	10132876	0033	0015281665	工程②	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0034	0015281666	工程③	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8		250	20250805		0000000000	000000
P100	ZP10	B10	10132876	0035	0015281667	工程④	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0036	0015281668	工程⑤	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0037	0015281669	工程⑥	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8		220	20250805		0000000000	000000
P100	ZP10	B10	10132876	0038	0015281670	中間工程	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
P100	ZP10	B10	10132876	0039	0015281671	仕上げ工程	C0921	SNF	A6A862600	IDKS-40-200T3 L67-70L	8			20250805		0000000000	000000
