連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000011	0000000011	0000000001	製造指図出庫	40162316	I-0331840-10-01-05		8062732-0082		A00A1994802	SST100TGD-V2(整流器)			2.000	C28	2025/07/22	2025/09/26	0820	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/07/22	2.000	11.000	0.000	2.000	PC1		2025/07/17	2025/08/07	80.000	2.000	78.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000012	0000000012	0000000001	製造指図出庫	10132811			8096990-0002	1210	U00A0398000	THY.SW GATE UNIT 100V			1.000	C19	2025/07/29	2025/08/19	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/07/29	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	77.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000013	0000000013	0000000001	製造指図出庫	40161608	M-0337463-20	337463-0020	8048446-0047		A00A2071200	断路器・THY-SW盤			1.000	C17	2025/08/22	2025/09/26	0460	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/08/22	3.000	11.000	0.000	3.000	PC1		2025/07/17	2025/08/07	80.000	3.000	74.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000014	0000000014	0000000001	製造指図出庫	40161282	G-0336374-20	336374-0020	8036836-0076		A00A2087800	SCA2F1-12/5-350/140VCPR			1.000	B50	2025/08/25	2025/10/14	0750	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/08/25	2.000	11.000	0.000	2.000	PC1		2025/07/17	2025/08/07	80.000	2.000	72.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000015	0000000015	0000000001	製造指図出庫	10133628			8177551-0002	1210	U00A0418601	＆遠方警報盤/空自AU単機用			3.000	C29	2025/09/03	2025/09/24	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/03	3.000	11.000	0.000	3.000	PC1		2025/07/17	2025/08/07	80.000	3.000	69.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000016	0000000016	0000000001	製造指図出庫	40163744	I-0341561-10-01-04		8102234-0117		A00A2102801	AU30N-A7-11-21(本体)			1.000	C28	2025/09/03	2025/10/10	1160	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/03	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	68.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000017	0000000017	0000000001	製造指図出庫	40161938	G-0338237-10	338237-0010	8056497-0050		A00A1916700	SCA4F7-175-950C			1.000	C17	2025/09/05	2025/10/17	0490	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/05	3.000	11.000	0.000	3.000	PC1		2025/07/17	2025/08/07	80.000	3.000	65.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000018	0000000018	0000000001	製造指図出庫	40159829	G-0332766-10	332766-0010	7978214-0020		A00A2035700	KTA4W2-18.5-10KCT5 -15°			2.000	C17	2025/09/09	2025/10/30	0190	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/09	2.000	11.000	0.000	2.000	PC1		2025/07/17	2025/08/07	80.000	2.000	63.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000019	0000000019	0000000001	製造指図出庫	40159830	G-0332766-20	332766-0020	7978215-0026		A00A2035800	KTA4W2-18.5-10KCT6 ±0°			1.000	C17	2025/09/18	2025/10/30	0250	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/18	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	62.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
0000000020	0000000020	0000000001	製造指図出庫	10133535			8170306-0002	1210	U00A0398000	THY.SW GATE UNIT 100V			1.000	C19	2025/09/19	2025/10/06	0020	50120203	26062001300	PC-20 20P ﾋﾗﾗｸﾞ ﾊﾝﾀﾞﾂｷ 20P . *	2025/09/19	1.000	11.000	0.000	1.000	PC1		2025/07/17	2025/08/07	80.000	1.000	61.000	A0801	A0802	○	○○○○○○○○		0	0	80	0.000	0.000	0.000	0.000	0.000		2,843.000000	
